country,page_num,plot_num,region,plot_name,asterisk,date,value,headline
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-02-16,-6.886,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-02-17,1.018,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-02-18,0.686,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-02-19,-1.816,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-02-20,3.496,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-02-21,3.319,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-02-22,4.066,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-02-23,6.932,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-02-24,2.434,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-02-25,0.822,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-02-26,4.414,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-02-27,5.450,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-02-28,3.664,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-02-29,6.828,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-01,24.267,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-02,4.162,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-03,4.380,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-04,3.444,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-05,-13.702,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-06,-27.595,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-07,-51.888,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-08,-69.649,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-09,-49.680,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-10,-53.223,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-11,-50.925,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-12,-52.423,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-13,-55.445,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-14,-64.306,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-15,-75.686,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-16,-52.684,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-17,-52.146,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-18,-58.389,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-19,-58.461,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-20,-57.589,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-21,-62.980,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-22,-78.272,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-23,-56.136,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-24,-54.490,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-25,-58.292,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-26,-58.329,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-27,-59.123,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-28,-71.145,-71%
"Poland  April 5, 2020",1,1,"Poland  April 5, 2020",Retail & recreation,False,2020-03-29,-70.948,-71%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-02-16,-25.149,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-02-17,0.665,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-02-18,1.767,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-02-19,-2.089,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-02-20,3.613,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-02-21,4.519,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-02-22,2.609,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-02-23,-6.770,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-02-24,2.847,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-02-25,0.645,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-02-26,4.851,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-02-27,5.422,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-02-28,3.599,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-02-29,7.221,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-01,3.443,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-02,2.755,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-03,10.167,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-04,30.111,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-05,21.068,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-06,5.923,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-07,-17.009,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-08,-43.318,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-09,-22.755,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-10,-26.475,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-11,-24.304,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-12,-23.651,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-13,-23.309,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-14,-31.769,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-15,-54.613,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-16,-26.513,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-17,-21.239,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-18,-30.253,+41%
"Poland  April 5, 2020",1,2,"Poland  April 5, 2020",Grocery & pharmacy,False,2020-03-19,-30.393,+41%
